Company Name,Aliases,Website,LinkedIn,Employees,Industry,City,State,Country,Region,Founded Year,Visa Sponsor,Number of Jobs,Description
Farrow & Ball,"Farrow & Ball Ltd, Farrow & Ball",http://www.farrow-ball.com,http://www.linkedin.com/company/farrow-&-ball,400,retail,Wimborne Minster,England,United Kingdom,,1946,Yes,13,"Farrow & Ball is a British manufacturer of high-quality paints and wallpapers, founded in 1946 in Dorset by chemist John Farrow and engineer Richard Ball. The company is celebrated for its rich, historically inspired color palettes and artisanal production methods. Farrow & Ball was the first to produce 100% water-based paints in 2010, showcasing its commitment to sustainability.

The company offers a diverse range of products, including 132 paint colors known for their high pigment content and durability, as well as vinyl-free wallpapers produced using traditional printing methods. Farrow & Ball also publishes books on color and decoration, reflecting its expertise in the field. With 63 showrooms across the UK, US, Canada, and Europe, the company serves a global clientele, including homeowners and interior designers, and collaborates with brands like The Rug Company to enhance home décor offerings. Farrow & Ball emphasizes environmental responsibility in its manufacturing processes, supporting sustainable home decoration."
Fastenal Europe,"Fastenal Europe Ltd, Fastenal Europe",http://www.fastenal.eu,http://www.linkedin.com/company/fastenal-europe,400,international trade & development,Glasgow,Scotland,United Kingdom,,1967,Yes,13,"Fastenal Europe is a private limited company based in Glasgow, United Kingdom, with additional operations in Dordrecht, Netherlands. Established in 2010, it operates in the wholesale trade sector, focusing on the distribution of building materials and industrial supplies. The company employs between 50 and 99 people and generates annual revenues estimated between $10 million and $25 million.

The core business of Fastenal Europe involves supplying a wide variety of products essential for building maintenance, repair, and construction. Its product range includes hardware, plumbing and heating equipment, machinery, metal and mineral products, household appliances, electrical goods, lumber, and commercial equipment. Fastenal Europe serves customers in the construction, manufacturing, and maintenance industries, providing reliable access to the materials needed for operational continuity and project execution."
finova,finova,http://www.finova.tech,http://www.linkedin.com/company/finova-tech,400,information technology & services,London,England,United Kingdom,,1996,Yes,3,"Finova is a UK-based technology company that specializes in cloud-based software solutions for the mortgage, lending, and savings sectors. Founded in 1996 and headquartered in London, Finova serves over 60 lenders and more than 550 brokerages, powering around one in five mortgages in the UK.

The company offers a comprehensive suite of modular, SaaS-based software designed to streamline the lifecycle of financial products. Key offerings include lending platforms for managing mortgage applications, savings solutions for various customer needs, and a servicing platform for product management. Additionally, Finova provides decisioning tools for risk management, an intermediary manager to automate tasks, and a broker CRM tailored for financial services. Their technology emphasizes flexibility and scalability, allowing clients to grow significantly without increasing headcount. Finova is committed to continuous improvement, regularly updating its software based on client feedback to adapt to market and regulatory changes."
Hafod Care Organisation Ltd,,http://www.hafod.org.uk,http://www.linkedin.com/company/the-hendre-group,400,nonprofit organization management,Sutton Coldfield,England,United Kingdom,,1968,Yes,12,"Hafod is a not-for-profit organization dedicated to improving lives by building communities and fostering connections. Established in 1968, it has grown to become a leading provider of housing, care, and support services in South Wales, assisting over 16,000 people annually. With a workforce of around 1,200 to 1,400 staff and a turnover exceeding £60 million, Hafod operates across multiple local authority areas.

The organization focuses on delivering high-quality, affordable housing to promote independence and well-being. It offers care services in various settings, including residential care and nursing homes, as well as support services aimed at helping individuals maintain their independence. Hafod is committed to community building and engages in initiatives that strengthen local communities, guided by its vision of connecting people and partners to enhance overall well-being."
INNOVATIVE TECHNOLOGY LTD,,http://www.innovative-technology.com,http://www.linkedin.com/company/innovative-technology-ltd,400,electrical/electronic manufacturing,Oldham,England,United Kingdom,,1992,Yes,4,"Innovative Technology Ltd is a UK-based global technology company founded in 1992. It specializes in cash handling and AI-powered age and identity verification solutions. Headquartered in Oldham, Lancashire, the company employs around 498 people and generates approximately $67.5 million in revenue.

The company operates through two main divisions. The Cash Validation Equipment division designs and manufactures products like bill acceptors, bill recyclers, and multi-coin hoppers, which help businesses automate transactions and enhance operational efficiency. The AI-Powered Age & Identity Verification Technology division develops facial analysis technology for age estimation and identity verification, improving compliance and customer experience across various industries.

Innovative Technology serves a wide range of sectors, including retail, gaming, kiosks, vending, amusement, and transport. The company emphasizes innovation-led research and development to help clients reduce operational costs and maximize efficiency. It also provides comprehensive technical support globally to assist customers with their products."
LB Group Ltd,,http://www.affinia.co.uk,http://www.linkedin.com/company/affiniagroup,400,accounting,Colchester,England,United Kingdom,,1963,Yes,36,"Affinia is a UK-based accountancy firm established in 2024 through the merger of seven regional accounting firms. Located in Colchester, Essex, it operates as a private limited company and is backed by Sovereign Capital Partners. Affinia aims to double its turnover and headcount within five years while maintaining a personal, relationship-led approach.

The firm offers a wide range of services, including accountancy, tax, and business advisory, tailored to meet the unique needs of its clients. Affinia focuses on delivering actionable insights and practical advice, emphasizing a deep understanding of clients to provide relevant commercial guidance. With over 300 years of combined experience, Affinia is recognized as one of the UK’s top 75 accountancy firms, ranked 41st, and has offices in London and the South East of England. The company employs between 201 and 500 people and is committed to championing its clients' businesses through valuable industry insights and a strong community connection."
London & Partners Limited,,http://www.londonandpartners.com,http://www.linkedin.com/company/london-&-partners,400,international trade & development,London,England,United Kingdom,,2011,Yes,5,"London & Partners (L&P) is the official growth agency for London, established in 2011 to foster economic growth that is resilient, sustainable, and inclusive. Formed by merging three promotional agencies, L&P operates with a private-sector ethos while being publicly funded, with an annual budget of around £12 million.

L&P provides a variety of services aimed at supporting business growth. It assists international businesses in establishing and expanding their operations in London, particularly in high-growth sectors. The agency also offers tailored resources for small and micro businesses to help them thrive both locally and internationally. Additionally, L&P promotes London as a premier destination for leisure tourism and major events, enhancing the local economy. It works on building London’s global reputation and creates partnerships to reinvest in economic growth activities.

Since its inception, L&P has significantly contributed to London’s economy, adding over £4 billion and supporting the creation of more than 99,000 jobs. It serves a diverse range of stakeholders, including international businesses, local companies, tourists, and event organizers."
Maybourne Hotels Limited,,http://www.maybourne.com,http://www.linkedin.com/company/maybourne-hotel-group,400,hospitality,London,England,United Kingdom,,1893,Yes,1,"Maybourne is a British luxury hotel operator known for its collection of iconic hotels, including Claridge’s, The Connaught, The Berkeley, The Emory, The Maybourne Beverly Hills, and The Maybourne Riviera. Headquartered in London, the company has a rich heritage that spans over 200 years, evolving from the former Savoy Hotel Group. Maybourne focuses on providing timeless elegance and bespoke service, with each property reflecting its unique story and character.

The company specializes in the ownership and management of luxury hotels that offer exceptional accommodations, fine dining, and personalized guest experiences. Services include luxurious guest rooms and suites, high-end restaurants with acclaimed chefs, event spaces for private and corporate functions, and wellness facilities. Maybourne's hotels are designed for discerning travelers seeking exclusivity and a connection to the local culture, making them ideal destinations for both leisure and business guests."
Milken Europe Limited,,http://www.milkeninstitute.org,http://www.linkedin.com/company/milkeninstitute,400,think tanks,London,England,United Kingdom,,1991,Yes,1,"The Milken Institute is an independent, nonprofit economic think tank based in Santa Monica, California, with additional offices in major cities around the world. Founded in 1991 by Michael Milken, the institute focuses on applying market-based principles and financial innovations to tackle social and economic challenges globally.

The Milken Institute conducts in-depth research on various topics, including human capital, healthcare, and financial innovation. It hosts educational events, such as the Milken Institute Global Conference, which brings together leaders from different sectors to discuss pressing issues. The institute publishes research reports and policy recommendations aimed at revitalizing regions and promoting access to capital. It also facilitates collaboration among experts to develop market-based solutions for economic development and healthcare.

The Milken Institute serves a diverse audience, including business leaders, policymakers, investors, healthcare professionals, and philanthropists, all seeking innovative solutions to complex challenges. Its mission is to improve lives and economic conditions worldwide through research and collaboration."
MOO,,http://www.moo.com,http://www.linkedin.com/company/moo-com,400,design,London,England,United Kingdom,,2006,Yes,3,"MOO is a UK-based online printing company founded in London in 2004 by Richard Moross. It specializes in high-quality print products, serving customers in over 200 countries, with a notable presence in the US and Europe. MOO has evolved from a small startup to a global business, focusing on both the commercial and consumer markets.

For businesses, MOO offers customizable products like business cards, letterheads, and stationery to help brands stand out. For consumers, the company provides personalized items such as stickers, gift cards, greeting cards, and MiniCards. MOO is recognized for its innovative approach to print design, encouraging users to create and customize their products through an easy-to-use online platform. The company is guided by core values that emphasize collaboration, customer focus, environmental responsibility, and great design."
MoonPay (UK) Limited,,http://www.moonpay.com,http://www.linkedin.com/company/moonpay,400,information technology & services,London,England,United Kingdom,,2018,Yes,12,"MoonPay is a financial technology company founded in 2019 and headquartered in Miami. It focuses on simplifying cryptocurrency transactions by allowing users to buy, sell, and trade cryptocurrencies using traditional payment methods like credit cards, Apple Pay, PayPal, and Venmo. The company offers a crypto on-ramp that enables seamless conversion of fiat currency into cryptocurrencies such as Bitcoin and Ethereum.

MoonPay provides a range of services, including a mobile app for purchasing crypto, a feature for selling cryptocurrencies, and the ability to swap between over 1,500 trading pairs. The company also offers analytics tools for partners and enhanced checkout experiences for digital collectibles. With over 20 million customers worldwide and a strong presence in multiple jurisdictions, MoonPay is committed to driving mainstream adoption of cryptocurrencies and blockchain technology. Its infrastructure supports a diverse array of users, from individuals to businesses, aiming to facilitate easy access to the crypto market."
Octopus Capital,"Octopus Capital Limited, Octopus Capital",http://www.octopusinvestments.com,http://www.linkedin.com/company/octopusinvestments,400,financial services,London,England,United Kingdom,,2000,Yes,3,"Octopus Investments is a UK-based financial services company founded in 2000 and part of the Octopus Group. It manages around £9.9 billion in funds for over 70,000 investors and employs more than 600 people. The company specializes in investment management, particularly in Venture Capital Trusts (VCTs) and tax-efficient investments that qualify for inheritance tax relief, making it the largest manager in these areas in the UK.

The company offers a range of services, including multiple VCTs such as Octopus Titan, which is the UK's largest VCT. It invests in early-stage technology companies and provides growth capital to scaleup businesses in various sectors, including pet insurance and femtech. Octopus Investments also focuses on financial planning and advisory services, aligning investments with long-term financial goals. As a subsidiary of Octopus Group Holdings Ltd, it operates alongside other businesses in energy, real estate, and philanthropy."
Optibus Transportation,"Optibus Transportation Limited, Optibus Transportation",http://www.optibus.com,http://www.linkedin.com/company/optibus,400,information technology & services,London,England,United Kingdom,,2014,Yes,2,"Optibus is a global provider of cloud-native transportation management software, established in 2014. The company offers a unified platform that integrates various aspects of public transportation, including planning, scheduling, rostering, operations, and passenger information. This scalable and customizable solution is designed to enhance the efficiency and quality of public transit systems.

Utilizing artificial intelligence and advanced optimization algorithms, Optibus helps transit agencies optimize vehicle and crew schedules, improving operational efficiency. The platform supports complex transit operations in over 500 cities across more than 35 countries, catering to a diverse clientele that includes public transportation agencies, private operators, and shuttle providers. Optibus is recognized for its innovation in the transportation technology sector, having been named a Technology Pioneer by the World Economic Forum and a Cool Vendor by Gartner."
Paymentology,"Paymentology Limited, Paymentology",http://www.paymentology.com,http://www.linkedin.com/company/paymentology,400,financial services,London,England,United Kingdom,,2015,Yes,9,"Paymentology is a global payment technology company that specializes in card issuing and processing solutions for fintechs, banks, and enterprises. Formed from the merger of Tutuka and Paymentology UK, the company leverages cloud-based innovation to provide advanced payment platforms.

Their flagship platform, Banking.Live, allows clients to quickly launch and manage various card programs, including prepaid, debit, credit, hybrid, virtual, and numberless cards. Paymentology focuses on empowering digital banks, fintechs, telcos, remittance companies, and traditional banks to create customized payment experiences. The platform supports seamless cross-border transactions in multiple currencies, promoting financial inclusion for unbanked populations.

With a strong global presence, Paymentology offers end-to-end solutions and dedicated support from payments experts in over 60 countries. The company aims to help clients innovate their payment products and enhance customer loyalty through secure and flexible card payment solutions."
Progeny Wealth,"Progeny Wealth Limited, Progeny Wealth",http://www.theprogenygroup.com,http://www.linkedin.com/company/theprogenygroup,400,financial services,Leeds,England,United Kingdom,,2016,Yes,25,"Progeny is a global professional services firm that specializes in comprehensive financial advisory services for clients with complex financial needs. It is the first firm to integrate independent advisory expertise across financial planning, tax, legal, and asset management into a seamless approach. Progeny focuses on providing joined-up advice to overcome traditional industry silos.

The firm assembles a diverse team of Chartered Financial Planners, Corporate Lawyers, Private Solicitors, and Tax Specialists to deliver personalized solutions. Progeny offers a range of services, including financial planning, asset management, legal services, and tax services. Its integrated advisory model connects multiple disciplines, allowing clients to benefit from a collaborative team that supports long-term wealth preservation and growth.

Progeny targets individuals, families, investors, businesses, and family offices seeking sophisticated advice across various jurisdictions. The firm is dedicated to ensuring clarity, value, and support for clients managing intricate financial, legal, and tax matters."
Scottish Leather Group Operations,"Scottish Leather Group Operations Limited, Scottish Leather Group Operations",http://www.scottishleathergroup.com,http://www.linkedin.com/company/scottish-leather-group-limited,400,textiles,Bridge of Weir,Scotland,United Kingdom,,1965,Yes,5,"Scottish Leather Group (SLG) is the largest leather manufacturer in the United Kingdom, based in Bridge of Weir, Renfrewshire, Scotland. This family-owned group consists of four subsidiaries—Andrew Muirhead & Son, Bridge of Weir Leather Company, W. J. and W. Lang, and NCT Leather—along with a technology company, all located in the West of Scotland. With over 500 years of combined experience in tanning and finishing leather, SLG is known for its high-quality, low-carbon leather products.

SLG serves a variety of industries, including automotive, aviation, rail, furniture, and luxury goods. Their leather is recognized for its refinement and sustainability, with Bridge of Weir leather playing a significant role in automotive history. The group emphasizes innovation, quality, and environmental care, ensuring that each subsidiary focuses on its strengths, from premium automotive leathers to high-performance materials for various sectors. With over 250 employees and revenues exceeding £54 million, Scottish Leather Group is a prominent player in the leather manufacturing industry."
Sheppard Robson People,"Sheppard Robson People Limited, Sheppard Robson People",http://www.sheppardrobson.com,http://www.linkedin.com/company/sheppard-robson,400,architecture & planning,London,England,United Kingdom,,1938,Yes,5,"Sheppard Robson is a British architecture firm founded in 1938 by Richard Sheppard and Jean Shufflebottom, later joined by Geoffrey Robson. With offices in London, Manchester, and Glasgow, the firm employs over 370 staff and specializes in architecture, interior design, and masterplanning. Their diverse portfolio includes projects in sectors such as offices, education, healthcare, residential, science, and retail.

The firm is known for its commitment to sustainability and innovation, focusing on net zero carbon buildings and sustainable communities. Notable projects include the Nelson Mandela Children’s Hospital in Johannesburg, Churchill College Cambridge, and the Siemens Middle East Headquarters in Abu Dhabi, the first LEED Platinum building in the region. Sheppard Robson also has an interior design division, ID:SR, which transforms office environments for clients like Channel 4, ITV, and KPMG. Overall, the company emphasizes environmentally responsible design while serving a wide range of clients."
Shropshire Community Health NHS Trust,Shropshire Community Health NHS Trust,http://www.shropscommunityhealth.nhs.uk,http://www.linkedin.com/company/shropshire-community-health-nhs-trust,400,hospital & health care,Shrewsbury,England,United Kingdom,,,Yes,7,"Shropshire Community Health NHS Trust is a public healthcare organization that offers a variety of community-based health services for adults and children in Shropshire, Telford and Wrekin, and surrounding areas. Established in July 2011, the Trust aims to provide high-quality, innovative health services close to people's homes. It operates services at community hospitals in Ludlow, Bridgnorth, Bishop's Castle, and Whitchurch.

The Trust's services include district nursing, health visiting, physiotherapy, and specialist community clinics. Serving a population of approximately 456,000, it has an annual budget of about £73 million and employs around 3,000 staff members. The organization collaborates with local and regional partners to ensure coordinated care and actively engages with the community to tailor services to meet local needs."
Squiz,"Squiz (UK) Ltd, Squiz",http://www.squiz.net,http://www.linkedin.com/company/squiz,400,information technology & services,London,England,United Kingdom,,1998,Yes,2,"Squiz is a global Digital Experience Platform (DXP) company founded in 1998 and based in Sydney, Australia, with additional offices in New York, Edinburgh, London, and Melbourne. With around 500 employees, Squiz specializes in serving complex, service-led organizations in government, higher education, and enterprise sectors.

The company provides a comprehensive suite of digital solutions, including a flexible DXP for building websites, portals, and applications. Their offerings also encompass content management tools, enterprise search solutions, personalization features, and accessibility compliance tools. Squiz supports organizations in their digital transformation efforts through consulting services that cover digital strategy, customer experience, UX design, and marketing automation. 

Squiz is recognized for its leadership in digital transformation and is trusted by various organizations to deliver engaging digital experiences that enhance user satisfaction and operational efficiency. The company emphasizes a people-centered approach, focusing on customer success and a positive employee culture."
Talbots Law,"Talbots Law Ltd, Talbots Law",http://www.talbotslaw.co.uk,http://www.linkedin.com/company/talbotslaw,400,law practice,Stourbridge,England,United Kingdom,,1828,Yes,6,"Talbots Law is a full-service law firm based in Kidderminster, Worcestershire, with multiple offices across England and Wales. Established in its current form in 1991, the firm has roots dating back to 1828. It employs over 600 professionals and is dedicated to providing client-centered legal services with a focus on clear communication and accessibility.

The firm offers a wide range of legal services, including wills and probate, family law, employment advice, business services, conveyancing, and dispute resolution. Talbots Law is recognized for its approachable style and commitment to high standards, having been one of the first local firms to achieve the Lexcel quality mark. With a strong reputation for customer satisfaction, the firm serves individuals, families, and businesses, emphasizing its philosophy of being a long-term legal partner."
The Hospital of St John & St Elizabeth,The Hospital of St John & St Elizabeth,http://www.hje.org.uk,http://www.linkedin.com/company/st-john-and-st-elizabeth-hospital,400,hospital & health care,London,England,United Kingdom,,1856,Yes,5,"St John & St Elizabeth Hospital is an independent private hospital in London, established in 1856 by Cardinal Wiseman and the Sisters of Mercy. Originally focused on caring for women and children with long-term illnesses, the hospital has expanded its services over the years to include male patients and now features 100 private rooms. It combines private healthcare with charitable support, operating as a registered charity.

The hospital offers a wide range of medical services, including on-site diagnostics such as X-rays and pathology, as well as pharmacy services. This integrated approach allows for immediate care and reduces stress for patients during treatment. St John & St Elizabeth Hospital is dedicated to delivering high-quality patient care across various specialties while maintaining its founding values of compassion and community support. Its unique model supports both private healthcare and hospice services, making it a distinctive institution in London's healthcare landscape."
Tullow Oil,"Tullow Oil Plc, Tullow Oil",http://www.tullowoil.com,http://www.linkedin.com/company/tullow,400,oil & energy,London,England,United Kingdom,,1985,Yes,1,"Tullow Oil plc is a multinational independent oil and gas exploration and production company, founded in 1985 in Tullow, Ireland, and now headquartered in London, United Kingdom. The company is publicly listed on the London Stock Exchange and is part of the FTSE 100 Index. Tullow Oil specializes in exploring, developing, and producing oil and gas resources, with a significant focus on operations in Africa, particularly in Ghana and Côte d’Ivoire, as well as in South Asia and South America.

The company has a strong track record of acquiring and developing assets, including notable discoveries like the Jubilee Oil Field offshore Ghana. Tullow Oil produces crude oil and natural gas, with a production rate of approximately 61,200 barrels of oil equivalent per day in 2024. Committed to sustainability and community engagement, Tullow integrates environmental stewardship and social responsibility into its operations, aligning with the United Nations Sustainable Development Goals. The company fosters a culture of inclusivity and safety, aiming to empower its employees and promote ethical conduct."
Wedlake Bell,"Wedlake Bell LLP, Wedlake Bell",http://www.wedlakebell.com,http://www.linkedin.com/company/wedlake-bell,400,law practice,London,England,United Kingdom,,1780,Yes,13,"Wedlake Bell is an independent law firm based in London, founded in 1780. The firm specializes in property and private client law, while also offering a wide range of services across business and legal sectors. With over 75 partners and more than 200 lawyers and support staff, Wedlake Bell is organized into four main practice groups: private client, business services, real estate, and dispute resolution.

The firm provides comprehensive legal services, including real estate transactions, estate planning, corporate law, and commercial litigation. It has a notable international presence, particularly through its India Group, which strengthens connections between the UK and Indian business communities. Wedlake Bell is recognized for its expertise and commitment to building long-term client relationships, delivering tailored legal solutions to meet diverse needs. The firm also embraces modern technology to enhance its service delivery while maintaining its traditional values."
Acadian Asset Management (UK) Limited,,http://www.acadian-asset.com,http://www.linkedin.com/company/acadian-asset-management,390,financial services,London,England,United Kingdom,,,Yes,2,"Acadian Asset Management is a global quantitative investment management firm based in Boston, with additional offices in London, Singapore, and Sydney. Founded in 1986, the company specializes in systematic investment strategies that utilize quantitative analysis, artificial intelligence, and data science to identify market inefficiencies and achieve risk-adjusted returns. As of June 30, 2025, Acadian manages approximately $151 billion in assets and employs over 120 investment professionals."
Air IT Ltd,,http://www.airit.co.uk,http://www.linkedin.com/company/air-it,390,information technology & services,Sandiacre,England,United Kingdom,,,Yes,9,"Air IT is a UK-based managed service provider (MSP) with over 20 years of experience, serving more than 2,400 clients nationwide. Founded in Nottingham in 2005, the company operates from multiple offices, including its headquarters in Coventry. Air IT specializes in delivering fully managed IT services, utilizing a secure AI and automation-enabled platform to enhance growth and efficiency for its customers."
Alpha International,,http://www.alpha.org,http://www.linkedin.com/company/alpha-international,390,nonprofit organization management,London,England,United Kingdom,,,Yes,3,Alpha International operates in two distinct sectors: moving services and the Turkish textile industry. 
Arc Inspirations Limited,,http://www.arcinspirations.com,http://www.linkedin.com/company/arc-inspirations,390,hospitality,Leeds,England,United Kingdom,,,Yes,3,"Arc Inspirations is a successful bar group based in the North of England, founded in 1999 and headquartered in Leeds, West Yorkshire. The company operates 17 to 20 premium bar venues under three brands: Banyan Bar & Kitchen, BOX, and Manahatta. These venues are strategically located in key city center areas across the Midlands and the North, providing vibrant social environments for guests."
Benenden Healthcare Society Ltd,,http://www.benenden.co.uk,http://www.linkedin.com/company/benenden-group,390,hospital & health care,York,England,United Kingdom,,,Yes,4,"Benenden Health is a not-for-profit mutual society based in the UK, providing private medical cover to over 870,000 members and corporate scheme employees. Founded in 1905, it originally supported Post Office employees with tuberculosis treatment costs. The society has since expanded its membership to include the wider public, removing employment restrictions in 2012."
Busuu Ltd,,http://www.busuu.com,http://www.linkedin.com/company/busuu-com,390,information technology & services,London,England,United Kingdom,,,Yes,3,"Busuu is a global language learning company founded in 2008 by Adrian Hilti and Bernhard Niesner. Named after the endangered Busuu language from Cameroon, the company offers a digital platform accessible via website and mobile app, serving over 50 million users worldwide. Busuu provides interactive language courses in 12 languages through a freemium model, combining structured learning with social features that allow users to practice and receive feedback from native speakers."
BWB Consulting Ltd,,http://www.bwbconsulting.com,http://www.linkedin.com/company/bwb-consulting-ltd,390,construction,Nottingham,England,United Kingdom,,,Yes,33,"BWB Consulting Ltd is an integrated engineering and environmental consultancy based in the United Kingdom, with its headquarters in Nottingham. Established in 1990, the company has grown to become one of the UK's leading consultancies in the built environment sector, employing around 349 people and generating revenues of approximately $55.1 million."
CARE Fertility Group Ltd.,,http://www.carefertility.com,http://www.linkedin.com/company/care-fertility,390,"health, wellness & fitness",Nottingham,England,United Kingdom,,,Yes,6,"Care Fertility is a prominent independent fertility treatment provider in the UK, established in 1997 by Simon Fishel and Dr. John Webster. Originally known as the Centre for Assisted Reproduction (CARE), the company aims to make IVF more accessible and effective, helping individuals and couples build families through personalized fertility treatments."
CARE International UK,,http://www.careinternational.org.uk,http://www.linkedin.com/company/care-international-uk,390,nonprofit organization management,London,England,United Kingdom,,,Yes,1,"CARE International UK is a non-profit organization based in London, established in 1985 as part of the global CARE International confederation. The organization is committed to fighting poverty and social injustice across more than 120 countries. Its mission focuses on saving lives, defeating poverty, and achieving social justice by empowering women and their communities."
Chapman Freeborn Airchartering Ltd,,http://www.chapmanfreeborn.aero,http://www.linkedin.com/company/chapmanfreeborn-airchartering,390,airlines/aviation,Horley,England,United Kingdom,,,Yes,8,"Chapman Freeborn Airchartering is a leading provider of aircraft charter and aviation support services, established in 1973 in the UK. The company operates globally, with offices in North America, Europe, Africa, Asia, and Australia. As part of Avia Solutions Group, it leverages a vast network and strong relationships with airlines to offer competitive pricing and tailored solutions."
